Title,Content,Permalink
> Will by Spouse to the other Spouse Absolutely,"<h3><strong>Do you care for your spouse and children? Protect their </strong><strong>right to inherit your property. MAKE A WILL to your Spouse.</strong></h3>
<strong>ABOUT THE DOCUMENT:</strong>

<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;ABOUT THIS DOCUMENT\nThis is a Will is made by one Spouse, giving all the property to the other Spouse, absolutely.\nREQUIREMENTS\n• Name and address of Executor(s) – the persons you will entrust to manage your estate\nafter your death e.g spouse, brother, friend etc.\n• Names of 2 Trustees – 2 persons you can entrust to look after your children and grand-\nchildren until they attain the age of 21 years e.g spouse, son, mother, daughter in law\netc.\nPROCESS\n• Fill in the Will.\n• Sign in the presence 2 independent witnesses who must NOT be beneficiaries in the Will.\n• Keep the will in a safe place.\n• Notify the Executors, Trustees and the Beneficiaries.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:8705,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0,&quot;16&quot;:10}"" data-sheets-textstyleruns=""{&quot;1&quot;:0,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:19}{&quot;1&quot;:115,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:127}{&quot;1&quot;:447,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:454}"">This is a Will is made by one Spouse, giving all the property to the other Spouse, absolutely.
<strong>REQUIREMENTS</strong>
• Name and address of Executor(s) – the persons you will entrust to manage your estate
after your death e.g spouse, brother, friend etc.
• Names of 2 Trustees – 2 persons you can entrust to look after your children and grand-
children until they attain the age of 21 years e.g spouse, son, mother, daughter in law
etc.
<strong>PROCESS</strong>
• Fill in the Will.
• Sign in the presence 2 independent witnesses who must NOT be beneficiaries in the Will.
• Keep the will in a safe place.
• Notify the Executors, Trustees and the Beneficiaries.</span>",https://www.lawyerwangu.com/documents/will-from-spouse-to-spouse-for-life-interest/
> Will by Parent(s) to Adult Children,"<h3><strong>Would you want to leave your children fighting over your property for years after your death? – NO? THEN, MAKE A WILL!</strong></h3>
<strong>
ABOUT THE DOCUMENT:</strong>

<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;ABOUT THIS DOCUMENT\nThis is a Will is made by a parent, giving all the property to his/her children absolutely.\nREQUIREMENTS\n• Name and address of Executor(s) – the persons you will entrust to manage your estate\nafter your death e.g spouse, brother, friend etc.\n• Names of 2 Trustees – persons you can entrust to look after your children and grand-\nchildren until they attain the age of 21 years e.g spouse, son, mother, daughter in law\netc.\nPROCESS\n• Fill in the Will.\n• Sign in the presence 2 independent witnesses who must NOT be beneficiaries in the Will.\n• Keep the will in a safe place.\n• Notify the Executors, Trustees and the Beneficiaries.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:8705,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0,&quot;16&quot;:10}"" data-sheets-textstyleruns=""{&quot;1&quot;:0,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:19}{&quot;1&quot;:112,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:124}{&quot;1&quot;:442,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:449}"">This is a Will is made by a parent, giving all the property to his/her children absolutely.
<strong>REQUIREMENTS</strong>
• Name and address of Executor(s) – the persons you will entrust to manage your estate
after your death e.g spouse, brother, friend etc.
• Names of 2 Trustees – persons you can entrust to look after your children and grand-
children until they attain the age of 21 years e.g spouse, son, mother, daughter in law
etc.
<strong>PROCESS</strong>
• Fill in the Will.
• Sign in the presence 2 independent witnesses who must NOT be beneficiaries in the Will.
• Keep the will in a safe place.
• Notify the Executors, Trustees and the Beneficiaries.</span>",https://www.lawyerwangu.com/documents/will-from-parent-to-adult-children/
> Will for Specific Asset Inheritance,"<p style=""text-align: justify;""><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;ABOUT THIS DOCUMENT\nThis Will is made when a person making a will wants to make specific bequests to different beneficiaries e.g to my wife Queen Susan, the middle west castle Title No. Nairobi/Block00/000. \n\nREQUIREMENTS\n• Name and address of Executor(s) – the persons you will entrust to manage your estate after your death e.g spouse, brother, friend etc.\n• Names of 2 Trustees – persons you can entrust to look after your children and grand-children until they attain the age of 21 years e.g wife, son, mother, daughter in law etc.\n• Names of the intended beneficiaries. \n\nPROCESS\n• Fill in the Will.\n• Sign in the presence 2 independent witnesses who must NOT be beneficiaries in the Will.\n• Keep the will in a safe place e.g safe, safe deposit box in a bank, with your Lawyer etc.\n• Notify the Executors, Trustees and the Beneficiaries.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:29185,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0,&quot;15&quot;:&quot;Tahoma&quot;,&quot;16&quot;:12,&quot;17&quot;:1}"" data-sheets-textstyleruns=""{&quot;1&quot;:0}{&quot;1&quot;:19,&quot;2&quot;:{&quot;5&quot;:0}}{&quot;1&quot;:209}{&quot;1&quot;:221,&quot;2&quot;:{&quot;5&quot;:0}}{&quot;1&quot;:598}{&quot;1&quot;:605,&quot;2&quot;:{&quot;5&quot;:0}}""><strong>ABOUT THIS DOCUMENT</strong>
This Will is made when a person making a will wants to make specific bequests to different beneficiaries e.g to my wife Queen Susan, the middle west castle Title No. Nairobi/Block00/000.
<strong>REQUIREMENTS</strong>
• Name and address of Executor(s) – the persons you will entrust to manage your estate after your death e.g spouse, brother, friend etc.
• Names of 2 Trustees – persons you can entrust to look after your children and grand-children until they attain the age of 21 years e.g wife, son, mother, daughter in law etc.
• Names of the intended beneficiaries.
<strong>PROCESS</strong>
• Fill in the Will.
• Sign in the presence 2 independent witnesses who must NOT be beneficiaries in the Will.
• Keep the will in a safe place e.g safe, safe deposit box in a bank, with your Lawyer etc.
• Notify the Executors, Trustees and the Beneficiaries.</span></p>",https://www.lawyerwangu.com/documents/will-for-specific-asset-inheritance/
> Will by Spouse to the other Spouse for a Life Interest,"<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;ABOUT THIS DOCUMENT\nThis is a Will is made by one Spouse, giving all the property to the other Spouse, to use for a\nlife interest without power to dispose except for education, medical or maintenance of the\nspouse and children.\nREQUIREMENTS\n• Name and address of Executor(s) – the persons you will entrust to manage your estate\nafter your death e.g spouse, brother, friend etc.\n• Names of 2 Trustees – persons you can entrust to look after your children and grand-\nchildren until they attain the age of 21 years e.g spouse, son, mother, daughter in law\netc.\nPROCESS\n• Fill in the Will.\n• Sign in the presence 2 independent witnesses who must NOT be beneficiaries in the Will.\n• Keep the will in a safe place.\n• Notify the Executors, Trustees and the Beneficiaries.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:8705,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0,&quot;16&quot;:10}"" data-sheets-textstyleruns=""{&quot;1&quot;:0,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:19}{&quot;1&quot;:228,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:240}{&quot;1&quot;:558,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:565}""><strong>ABOUT THIS DOCUMENT</strong>
This is a Will is made by one Spouse, giving all the property to the other Spouse, to use for a
life interest without power to dispose except for education, medical or maintenance of the
spouse and children.
<strong>REQUIREMENTS</strong>
• Name and address of Executor(s) – the persons you will entrust to manage your estate
after your death e.g spouse, brother, friend etc.
• Names of 2 Trustees – persons you can entrust to look after your children and grand-
children until they attain the age of 21 years e.g spouse, son, mother, daughter in law etc.
<strong>PROCESS</strong>
• Fill in the Will.
• Sign in the presence 2 independent witnesses who must NOT be beneficiaries in the Will.
• Keep the will in a safe place.
• Notify the Executors, Trustees and the Beneficiaries.</span>",https://www.lawyerwangu.com/documents/will-by-spouse-to-the-other-spouse-for-a-life-interest/
> What you need to know about Credit Reference Bureaus (CRB),"<p style=""text-align: justify;"">A CRB is a company licensed by the Central Bank of Kenya to collect and provide consumer credit information on individuals or businesses. They are established under the Credit Reference Bureau Regulations, 2013.</p>
<p style=""text-align: justify;""><em>What is credit information? </em></p>
<p style=""text-align: justify;"">This is any positive or negative information on an individual’s or businesses’ credit worthiness, credit standing, credit capacity, character, general reputation, personal characteristics or any financial obligations.</p>
<p style=""text-align: justify;""><em>Negative Information includes</em>:</p>

<ol style=""text-align: justify;"">
 	<li>Dishonored Cheques (other than for administrative reasons);</li>
 	<li>Accounts compulsorily closed (other than for administrative reasons);</li>
 	<li>Proven cases of fraud and forgeries;</li>
 	<li>False declarations and statements;</li>
 	<li>Credit defaults or late payments on all types of facilities;</li>
 	<li>Receivership, bankruptcies, liquidations, etc.</li>
</ol>
<p style=""text-align: justify;""><em>Where do CRB’S get credit information?</em></p>
<p style=""text-align: justify;"">Financial Institutions, Government Agencies, Businesses and any other credit providers.</p>
<p style=""text-align: justify;""><em>Licensed CRB’s in Kenya</em></p>

<ol style=""text-align: justify;"">
 	<li>Transunion Africa</li>
 	<li>Metropol Credit reference Bureau Limited</li>
 	<li>Creditinfo Credit Reference Bureau Limited</li>
</ol>
<p style=""text-align: justify;""><em>Services provided by CRB’s</em></p>
<p style=""text-align: justify;"">CRB‘s provide different services for both individuals and businesses.</p>
<p style=""text-align: justify;""><em>Individuals</em></p>

<ul style=""text-align: justify;"">
 	<li>Credit reports</li>
 	<li>Clearance certificate</li>
 	<li>Listing status</li>
</ul>
<p style=""text-align: justify;""><em>Business</em></p>

<ul style=""text-align: justify;"">
 	<li>Credit and risk reporting</li>
 	<li>Consumer profiling</li>
 	<li>Debt collection and monitoring</li>
 	<li>Business information reporting</li>
</ul>
<p style=""text-align: justify;""><em>How to credit information from a CRB</em></p>
<p style=""text-align: justify;"">Any individual/business that wishes to get credit information may make an application to any Licensed CRB such as; Credit Union, Transunion Africa and Metropol through their respective websites.</p>
<p style=""text-align: justify;""></p>",https://www.lawyerwangu.com/documents/what-you-need-to-know-about-credit-reference-bureaus-crb/
> How to apply for NSSF,"<strong>What is NSSF?</strong>

Article 43 (1) (e) of the Constitution of Kenya provides that every person has a right to social security. Hence, the National Social Security Fund (NSSF) was established under the Section 3 of the National Social Security Fund. The main aim was to provide basic financial security benefits to Kenyans upon retirement.

How to apply for NSSF

1.   Offline application
<p style=""padding-left: 40px;"">a)   First visit any NSSF office branch in your locality or any Huduma centre.</p>
<p style=""padding-left: 40px;"">b)   Approach the NSSF officer and fill in the application form.</p>
<p style=""padding-left: 40px;"">c)    Attach all your documents.</p>
<p style=""padding-left: 40px;"">d)   Pick your NSSF card.</p>
Required Documentation
<p style=""padding-left: 40px;"">a)   Application form.</p>
<p style=""padding-left: 40px;"">b)   Original National Identity Card or valid passport and a copy.</p>
<p style=""padding-left: 40px;"">c)    Your employer’s appointment letter. (Does not apply for self-employed persons)</p>
<p style=""padding-left: 40px;"">d)   Employer’s NSSF number.</p>
<p style=""padding-left: 40px;"">e)   A valid copy of your Kenya Revenue Authority (KRA) pin.</p>
&nbsp;

2.   Online application
<p style=""padding-left: 40px;"">a)   Visit the NSSF official web page- https://selfservice.nssf.or.ke/</p>
<p style=""padding-left: 40px;"">b)   Click on the NSSF Member’s self-service section.</p>
<p style=""padding-left: 40px;"">c)    Choose accordingly; depending on your employment status.</p>
<p style=""padding-left: 40px;"">d)   Fill in the form.</p>
<p style=""padding-left: 40px;"">e)   Print the registration information.</p>
<p style=""padding-left: 40px;"">f)     Visit an NSSF Branch Office with your documents.</p>
Required Documentation
<p style=""padding-left: 40px;"">a)   Kenyan National Identity Card or valid passport.</p>
<p style=""padding-left: 40px;"">b)   Your employer’s appointment letter. (Does not apply for self-employed persons)</p>
<p style=""padding-left: 40px;"">c)    Employer’s NSSF number.</p>
<p style=""padding-left: 40px;"">d)   A valid copy of your Kenya Revenue Authority (KRA) pin.</p>
Contribution to NSSF
<p style=""padding-left: 40px;"">a)   Employers and Employees</p>
Section 19 of the Act provides that every Employer shall register as a contributing Employer and shall register their Employees as members.

The Employers are mandated to contribute 6% of the Employees monthly pensionable earnings while the Employee shall contribute 6%. Employers can however opt to contribute 12%.
<p style=""padding-left: 40px;"">b)   Self Employed</p>
Self-employed individuals may register as voluntary members. A self-employed Individual shall contribute Kshs. 200 to register and Kshs. 4,800 annually.

Replacement of a lost NSSF card

Where you lose/misplace your NSSF card, visit your NSSF branch and apply for a replacement.",https://www.lawyerwangu.com/documents/what-is-nssf/
> What is a tax Compliance Certificate?,"<p style=""text-align: justify;"">A Tax Compliance Certificate is a clearance issued by Kenya Revenue Authority (KRA) to taxpayers who have paid their required taxes. The certificate confirms compliance for a period of five years preceding the date of issue. The Tax Compliance Certificate is valid for a period of 12 months from the date of issue to a taxpayer.</p>
<p style=""text-align: justify;"">When would you need a tax compliance certificate?</p>

<ul style=""text-align: justify;"">
 	<li>When applying for a Government contract</li>
 	<li>When applying for a Government job</li>
 	<li>When applying for a work permit</li>
 	<li>When applying for a VISA</li>
</ul>
<p style=""text-align: justify;"">Process:</p>

<ol style=""text-align: justify;"">
 	<li>Log into your <a href=""https://itax.kra.go.ke/KRA-Portal/"">itax </a>account</li>
 	<li>Select the Certificates category</li>
 	<li>Select “apply for Tax Compliance Certificate”</li>
 	<li>Fill in the reason for application (for example job application) and submit your application</li>
 	<li>Download your Tax Compliance Certificate.</li>
</ol>
<ul style=""text-align: justify;""></ul>
<ol style=""text-align: justify;""></ol>
<p style=""text-align: justify;"">Where you have not filed the required taxes, you will need to pay the pending taxes before issuance of a Compliance Certificate.</p>",https://www.lawyerwangu.com/documents/what-is-a-tax-compliance-certificate/
> Warning Letter,"<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;ABOUT THIS DOCUMENT\nThis is a written warning to an employee.\n\nREQUIREMENTS \n•        Name and address of the Employee\n•        particulars of misconduct \n\nPROCESS\n•        Employer to fill in and sign this letter.\n•        Serve the letter to the Employee.\n•        Recommend the appropriate action based on the employees feedback. \n&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12801,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0,&quot;15&quot;:&quot;Tahoma&quot;,&quot;16&quot;:12}"" data-sheets-textstyleruns=""{&quot;1&quot;:0,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:19}{&quot;1&quot;:62,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:77}{&quot;1&quot;:156,&quot;2&quot;:{&quot;5&quot;:1}}{&quot;1&quot;:163}""><strong>ABOUT THIS DOCUMENT</strong>
This is a written warning to an employee.
<strong>REQUIREMENTS </strong>
• Name and address of the Employee
• particulars of misconduct
<strong>PROCESS</strong>
• Employer to fill in and sign this letter.
• Serve the letter to the Employee.
• Recommend the appropriate action based on the employees feedback.
</span>",https://www.lawyerwangu.com/documents/warning-letter-2/
> How to claim from the Unclaimed Financial Assets Authority,"<p style=""text-align: justify;""><strong>What is an unclaimed asset? </strong></p>
<p style=""text-align: justify;"">Section 2 of the Unclaimed Financial Assets Act provides that an unclaimed asset is one that has been transferred to the Authority as unclaimed asset. It includes all income and dividends.</p>
<p style=""text-align: justify;""><strong>Types of unclaimed assets</strong></p>

<ol style=""text-align: justify;"">
 	<li><strong> </strong><strong>Traveller’s cheques and money orders </strong>that are <u>unclaimed for 2 years</u> are presumed abandoned.</li>
 	<li><strong> </strong><strong>Money in a bank that was due to a person through a cheque </strong>that is <u>unclaimed for 2 years</u> is presumed abandoned.</li>
 	<li><strong>Deposits or savings </strong>that are not increased, decreased or there is no communication to the Bank regarding the funds <u>for five years</u> shall be presumed abandoned.</li>
 	<li><strong>Life insurance policy funds </strong>that are <u>unclaimed for 2 years</u> after the funds became due and payable shall be presumed as abandoned.</li>
 	<li><strong>Assets </strong>that are <u>unclaimed for 2 years </u>after <strong>demutualization</strong> shall be presumed as abandoned. Demutualization happens where an insurance company converts from a privately owned to a public traded insurance company.</li>
 	<li><strong>Deposit for utility services </strong>e.g. water and electricity that are <u>unclaimed for 2 years </u>after termination of the services, the payment shall be presumed as abandoned.</li>
 	<li><strong>Refund by Court </strong>g. for bail or deposit that is <u>unclaimed for 2 years</u> shall be considered as an unclaimed asset.</li>
 	<li><strong>Dividends </strong>that are <u>unclaimed for 3 years</u> shall be considered as unclaimed assets.</li>
 	<li><strong>Assets from a dissolved business entity </strong>that remain <u>unclaimed for 2 years</u> after the date specified for final distribution are presumed as abandoned.</li>
 	<li><strong>Gift certificate </strong>that is <u>unclaimed for 5 years</u> or was used one or more times without exhausting its full value, but subsequently was not used for an uninterrupted period of five years is presumed abandoned.</li>
 	<li><strong>Unpaid wages </strong>e.g. Payroll cheque, allowances, bonuses and terminal benefits that remain <u>unclaimed for 1 year</u> after becoming payable are presumed abandoned.</li>
 	<li><strong>Assets held in safe deposit box </strong>that remain <u>unclaimed for 2 years</u> after the lease or rental period on the box has expired, are presumed abandoned.</li>
 	<li><strong>Assets held by Court or Government department </strong>that remain <u>unclaimed for 1 year</u> after becoming payable are presumed abandoned.</li>
</ol>
<p style=""text-align: justify;""><strong>Delivery of abandoned assets to the Authority </strong></p>
<p style=""text-align: justify;"">Section 19 of the Act imposes a duty on the holder of an unclaimed asset to notify the owner about their assets before remitting them to the Authority.</p>
<p style=""text-align: justify;"">The holder of the unclaimed assets shall then write a report to the Authority with the details of the owner then deliver the assets to the Authority.</p>
<p style=""text-align: justify;""><strong>Right of the Authority to sell unclaimed assets</strong></p>
<p style=""text-align: justify;"">Section 25 of the Act provides that the Authority may sell abandoned assets within three years after the receipt of the abandoned assets.</p>
<p style=""text-align: justify;"">Before selling any asset, the Authority shall publish at least one publication of notice, at least three weeks in advance of sale, in at least one newspaper of national circulation.</p>
<p style=""text-align: justify;"">The purchaser of assets at a sale conducted by the Authority shall take the assets free of all claims of the owner or previous holder of the assets.</p>
<p style=""text-align: justify;""><strong>How to claim for abandoned assets in the custody of the Unclaimed Financial Assets Authority </strong></p>
<p style=""text-align: justify;""><strong>Claim by owner </strong></p>
<p style=""text-align: justify;"">An owner claiming an interest in any assets in the custody of the Authority may file a claim by submitting the following documents:</p>

<ol style=""text-align: justify;"">
 	<li>An Original Owner(s) claim form (<a href=""https://portal.ufaa.go.ke/frontend/claimforms/Original%20owner%20claim-FORM%204A.pdf"">form 4A</a>)</li>
 	<li>An Indemnity agreement <a href=""https://portal.ufaa.go.ke/frontend/claimforms/FORM%205.pdf"">(form 5)</a></li>
 	<li>An official letter received from the holder confirming remittance of unclaimed financial assets to the Authority.</li>
 	<li>A Certified copy of the claimant’s national identity card or passport (Certified by a lawyer).</li>
 	<li>A copy of claimant’s KRA PIN certificate.</li>
</ol>
<ul style=""text-align: justify;""></ul>
<ol style=""text-align: justify;""></ol>
<p style=""text-align: justify;""><strong>Claim by beneficiary</strong></p>
<p style=""text-align: justify;"">A beneficiary is the person or entity entitled to receive a claim upon the death of a person who has assets in the custody of the Unclaimed Financial Assets Authority. A beneficiary claiming an interest in any assets in the custody of the Authority may file a claim by submitting the following documents to the Unclaimed Financial Assets Authority:</p>

<ol style=""text-align: justify;"">
 	<li>The beneficiary claim form <a href=""https://portal.ufaa.go.ke/frontend/claimforms/Beneficiary%20claim-FORM%204b.pdf"">(Form 4B)</a></li>
 	<li>The Indemnity agreement <a href=""https://portal.ufaa.go.ke/frontend/claimforms/FORM%205.pdf"">(form 5)</a></li>
 	<li>An official letter received from the holder confirming remittance of unclaimed financial assets to the Authority.</li>
 	<li>A certified copy of the claimant’s national identity card or passport</li>
 	<li>A Copy of claimant’s KRA PIN certificate.</li>
 	<li>A Copy of certificate of death.</li>
 	<li>A copy of the Certificate of Confirmation of Grant/ Certificate of Summary Administration.</li>
 	<li>A claimant bank details form.</li>
 	<li>A one-page copy of recent bank statement, current deposit slip or withdrawal slip clearly showing account name and number.</li>
</ol>
<ul style=""text-align: justify;""></ul>
<ol style=""text-align: justify;""></ol>
<ul style=""text-align: justify;""></ul>
<ol style=""text-align: justify;""></ol>
<p style=""text-align: justify;""><strong>Claim by an agent/representative of an owner</strong></p>
<p style=""text-align: justify;"">An agent/representative claiming an interest on behalf of an owner’s asset in the custody of the Authority may file a claim by submitting the following documents:</p>

<ol style=""text-align: justify;"">
 	<li>An agent for owner claim form <a href=""https://portal.ufaa.go.ke/frontend/claimforms/Agernt%20for%20Owner%20Claim-FORM%204D.pdf"">(form 4D)</a></li>
 	<li>An indemnity agreement <a href=""https://portal.ufaa.go.ke/frontend/claimforms/FORM%205.pdf"">(form 5)</a></li>
 	<li>An official letter received from the holder confirming remittance of unclaimed assets to the Authority.</li>
 	<li>A Certified copy of the claimant’s national identity card or passport.</li>
 	<li>A Copy of claimant’s KRA PIN certificate.</li>
 	<li>A Registered power of attorney. (Registered at the Ministry of Lands)</li>
 	<li>A claimant bank details form.</li>
 	<li>A one-page copy of recent bank statement, current deposit slip or withdrawal slip (clearly showing account name and number.</li>
</ol>
<ul style=""text-align: justify;""></ul>
<ol style=""text-align: justify;""></ol>
<ul style=""text-align: justify;""></ul>
<p style=""text-align: justify;""><strong>Claim on behalf of a Minor</strong></p>
<p style=""text-align: justify;"">A Guardian claiming an interest on behalf of a minor’s asset in the custody of the Authority may file a claim by submitting the following documents:</p>

<ol style=""text-align: justify;"">
 	<li>An agent for owner claim form <a href=""https://portal.ufaa.go.ke/frontend/claimforms/Agernt%20for%20Owner%20Claim-FORM%204D.pdf"">(form 4D)</a></li>
 	<li>An indemnity agreement <a href=""https://portal.ufaa.go.ke/frontend/claimforms/FORM%205.pdf"">(form 5)</a></li>
 	<li>An official letter received from the holder confirming remittance of unclaimed assets to the Authority.</li>
 	<li>A Certified copy of the claimant’s national identity card or passport.</li>
 	<li>A Copy of claimant’s KRA PIN certificate.</li>
 	<li>Guardianship deed</li>
 	<li>Claimant's bank details form</li>
 	<li>A one-page copy of recent bank statement, current deposit slip or withdrawal slip (clearly showing account name and number.</li>
</ol>
<ul style=""text-align: justify;""></ul>
<ol style=""text-align: justify;""></ol>
<ul style=""text-align: justify;""></ul>
<p style=""text-align: justify;""><strong>Claim on behalf of business entity</strong></p>
<p style=""text-align: justify;"">A person claiming an interest on behalf of a business entities asset in the custody of the Authority may file a claim by submitting the following documents:</p>

<ol style=""text-align: justify;"">
 	<li>Business entity claim form <a href=""https://portal.ufaa.go.ke/frontend/claimforms/Business%20Entity%20claim-FORM%204C.pdf"">(form 4C)</a></li>
 	<li>Indemnity agreement <a href=""https://portal.ufaa.go.ke/frontend/claimforms/FORM%205.pdf"">(form 5)</a></li>
 	<li>An official letter received from the holder confirming remittance of unclaimed financial assets to the Authority.</li>
 	<li>Current form CR12 obtained from the Company Registrar indicating directors of a company.</li>
 	<li>Certified copy of the directors’ national identity cards or passports (Certified by a lawyer).</li>
 	<li>Copy of directors’ KRA PIN certificates.</li>
 	<li>Certificate of incorporation.</li>
</ol>
<ul style=""text-align: justify;""></ul>
<ol style=""text-align: justify;""></ol>
<ul style=""text-align: justify;""></ul>
<p style=""text-align: justify;""><strong>Procedure for claiming for abandoned assets</strong></p>

<ol style=""text-align: justify;"">
 	<li>File the application to the Unclaimed Financial Assets Authority.</li>
 	<li>The Authority shall give a written notice within 90 days after it is filed.</li>
 	<li>Where a claim is allowed, the Authority shall pay or deliver to the Claimant the assets or money if the Authority has sold it.</li>
 	<li>If you are aggrieved by the Authorities decision, you may file an action in Court. The claim should be made within 90 days from the decision of the Authority.</li>
 	<li>If the Authority does not issue a notice within 90 days of filing, you may bring an action in Court against the Authority. The claim should be made within 180 days from the filing of the claim.</li>
</ol>
<ul style=""text-align: justify;""></ul>
<ol></ol>",https://www.lawyerwangu.com/documents/unclaimed-assets/
> Share Transfer & Form D,"<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;ABOUT THIS DOCUMENT\nThe Share Transfer form is filed with the Registrar as proof for transfer of shares to update the records. Form D is signed by the Auditor to support the value of shares.\n\nREQUIREMENTS\n• Name and address of seller.\n• Name and address of the buyer.\n• Name of Company \n• Sale value of the shares.\n\nPROCESS\n• Fill in this share transfer and form D.\n• Buyer and Seller to sign the Share Transfer.\n• Present the share transfer and form D for payment of stamp duty.\n• Upload the share transfer with minutes approving the share transfers and interim/annual return on the Business Registration Services portal on e-citizen.\n&quot;}"" data-sheets-userformat=""{&quot;2&quot;:31233,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0,&quot;14&quot;:{&quot;1&quot;:2,&quot;2&quot;:0},&quot;15&quot;:&quot;Calibri, sans-serif&quot;,&quot;16&quot;:11,&quot;17&quot;:1}"" data-sheets-textstyleruns=""{&quot;1&quot;:0,&quot;2&quot;:{&quot;3&quot;:&quot;Tahoma&quot;,&quot;4&quot;:12}}{&quot;1&quot;:19,&quot;2&quot;:{&quot;3&quot;:&quot;Tahoma&quot;,&quot;4&quot;:12,&quot;5&quot;:0}}{&quot;1&quot;:192,&quot;2&quot;:{&quot;3&quot;:&quot;Tahoma&quot;,&quot;4&quot;:12}}{&quot;1&quot;:204,&quot;2&quot;:{&quot;3&quot;:&quot;Tahoma&quot;,&quot;4&quot;:12,&quot;5&quot;:0}}{&quot;1&quot;:344,&quot;2&quot;:{&quot;3&quot;:&quot;Tahoma&quot;,&quot;4&quot;:12}}{&quot;1&quot;:351,&quot;2&quot;:{&quot;3&quot;:&quot;Tahoma&quot;,&quot;4&quot;:12,&quot;5&quot;:0}}""><strong>ABOUT THIS DOCUMENT</strong>
The Share Transfer form is filed with the Registrar as proof for transfer of shares to update the records. Form D is signed by the Auditor to support the value of shares.
<strong>REQUIREMENTS</strong>
• Name and address of seller.
• Name and address of the buyer.
• Name of Company
• Sale value of the shares.
<strong>PROCESS</strong>
• Fill in this share transfer and form D.
• Buyer and Seller to sign the Share Transfer.
• Present the share transfer and form D for payment of stamp duty.
• Upload the share transfer with minutes approving the share transfers and interim/annual return on the Business Registration Services portal on e-citizen.
</span>",https://www.lawyerwangu.com/documents/transfer-of-share-or-stock/
